@sss_tomo0413	2017-05-22 19:10:27	１）時間を設定するとカウントダウンするタイマーカウントが0になるとマウスカーソルからウインドウが逃げてくギャグマンガのようにフェードアウトするウインドウ#EP演習
@glaceef_maru9	2017-05-22 19:10:27	1人目からハードル上げてくなー#EP演習
@fms3_hy	2017-05-22 19:10:28	土曜からここまでかなり進捗出しててすごいな最初にこれはハードル上がるww#EP演習
@FungiMetalSyoko	2017-05-22 19:10:29	あーダメだもう敵わない #EP演習
@takaken_fms	2017-05-22 19:10:31	(精神が）すごい＃EP演習
@fms_eraser	2017-05-22 19:10:32	初手キャラ濃いな〜笑 #EP演習
@galbot979	2017-05-22 19:10:32	発想の勝利#EP演習
@numaty_null	2017-05-22 19:10:33	っょぃ#EP演習　完
@takuandake	2017-05-22 19:10:34	クオリティやばいwww #EP演習
@sabuxu	2017-05-22 19:10:36	もはやお祭り#EP演習
@tkw_fms	2017-05-22 19:10:36	落ちまでついて素晴らしい！ #EP演習
@majinfms	2017-05-22 19:10:36	発想がすごすぎ#EP演習
@UNK61688740	2017-05-22 19:10:38	ちゃんと盛り上げていっててすごい！！#EP演習
@funi_fms	2017-05-22 19:10:39	毎年トップバッターはインパクトがすごい　#EP演習
@kbcha10	2017-05-22 19:10:39	笑いすぎて泣きそうwwwww#EP演習
@turtar_fms	2017-05-22 19:10:41	#EP演習 一気にワイワイした雰囲気に持って行った
@ishimoty3	2017-05-22 19:10:43	ハードルが上がる...#EP演習
@k564nya	2017-05-22 19:10:44	やはり天才だった#EP演習
@fms_moyashi	2017-05-22 19:10:45	あっさいお疲れ！＃EP演習
@252_874	2017-05-22 19:10:45	神かｗｗｗｗｗｗｗｗ８８８８８８８８８８８#EP演習
@liz_ei	2017-05-22 19:10:50	もう心が追いつかない… #EP演習
@z_upcc	2017-05-22 19:10:50	ハードルがｗｗ#EP演習
@motsusuke_fms	2017-05-22 19:10:50	初手からすごすぎwwww#EP演習
@mkw9977	2017-05-22 19:10:52	トップバッター面白かったｗ#EP演習
@KAJI_FMS	2017-05-22 19:10:57	しょっぱなから半端なく面白かった！ #EP演習
@fms_nishiki	2017-05-22 19:10:58	もう帰りたい #EP演習
@mayumi_kt2	2017-05-22 19:10:58	めっちゃ面白かった#EP演習
@EPDaisuke	2017-05-22 19:11:00	#EP演習1時間になるとウインドウがカーソルから逃げていくもうHSPなんてこりごりだぁ～完
@nouchinow	2017-05-22 19:11:01	１年ぶりに盆回り聞いたわｗ　#EP演習
@fms_aito	2017-05-22 19:11:02	いやえええすごwwww#EP演習
@fms_eraser	2017-05-22 19:11:13	どっこい！ #EP演習
@onigirimgmg_fms	2017-05-22 19:11:20	#EP演習しょっぱなかられべるたかい、、、、、、、、
@kbcha10	2017-05-22 19:11:25	HSPなんてこりごりだぁ～～～～#EP演習
@Luv_MissionK	2017-05-22 19:11:25	#EP演習 もうすでにハードル上がった😂😂😂
@takuandake	2017-05-22 19:11:30	雰囲気がかなりいい！！！！ #EP演習
@chaki_cheer3	2017-05-22 19:11:37	つぎはかなんちゃん！#EP演習
@2n7_5	2017-05-22 19:11:44	かわいい#EP演習
@fms3_hy	2017-05-22 19:11:47	どんどんハードルが上がっていく発表会#EP演習
@glaceef_maru9	2017-05-22 19:11:47	かわいi＃EP演習
@mayumi_kt2	2017-05-22 19:11:53	スライドがかわいい#EP演習
@tsukidate_t	2017-05-22 19:11:53	#EP演習 つよい
@kbcha10	2017-05-22 19:11:56	フォントがかわいい#EP演習
@T_daigaku	2017-05-22 19:11:57	ハードル爆上げ#EP演習
@ekusikaS_fms	2017-05-22 19:11:57	字体もかわいい#EP演習
@fms_eraser	2017-05-22 19:12:26	スライド作る系EP発表者多そう #EP演習
@onigirimgmg_fms	2017-05-22 19:12:35	#EP演習フォントかわいい
@auk_key_ikon	2017-05-22 19:12:36	お～#EP演習
@2n7_5	2017-05-22 19:12:40	真面目やのう#EP演習
@kanikani_fms	2017-05-22 19:12:54	もう俺がやろうと思ってた入り方潰された#EP演習
@ekusikaS_fms	2017-05-22 19:12:55	タイピングしながら先生の研究を覚えられる！#EP演習
@fms_eraser	2017-05-22 19:13:04	マイク持ってあげて！ #EP演習
@mayumi_kt2	2017-05-22 19:13:12	すごいwwwたまねぎwww#EP演習
@utgwn	2017-05-22 19:13:17	Twitterで配信してほしい #EP演習
@larcenciel37	2017-05-22 19:13:21	玉ねぎを切った音ｗｗｗ#EP演習
@ekusikaS_fms	2017-05-22 19:13:22	玉ねぎを切った音#EP演習
@auk_key_ikon	2017-05-22 19:13:28	\玉ねぎを切る音/#EP演習
@UNK61688740	2017-05-22 19:13:29	デザインがいい#EP演習
@tkw_fms	2017-05-22 19:13:32	サクサクタイピング #EP演習
@kbcha10	2017-05-22 19:13:32	たまねぎの音が心地よい#EP演習
@FungiMetalSyoko	2017-05-22 19:13:34	1年の間まるで教授陣の顔を覚えられなかった僕、もっと早く出会いたかった #EP演習
@fms_eraser	2017-05-22 19:13:44	効果音がいいね #EP演習
@chuuoubouhatei	2017-05-22 19:13:45	データがすごい！！！ #EP演習
@onakaSuitaaayoh	2017-05-22 19:13:46	たまねぎwww#EP演習
@liz_ei	2017-05-22 19:13:57	肖像権気にするのは大事 #EP演習
@chaki_cheer3	2017-05-22 19:14:03	すごすぎ！！！めっっちゃすごい！！よき宣伝ｗ#EP演習
@EPDaisuke	2017-05-22 19:14:03	#EP演習2タイピングゲームにはまってしまったFMSの先生の研究を覚えられるタイピング玉ねぎを切った音もっとFMSの先生について知るべきだ！！！！！！先生のHPに飛べる
@BowKeigo	2017-05-22 19:14:11	普通に欲しい #EP演習
@sss_tomo0413	2017-05-22 19:14:14	２）10fastfingersと寿司打にはまり、タイピングをしながらFMSの先生の発表を覚えられるFMSタイピングゲーム。玉ねぎを切った音、FMSの先生の名前をタイプ。先生方のHPに飛ぶページもある#EP演習
@FungiMetalSyoko	2017-05-22 19:14:16	凄い！めっちゃすごい！でも青山一真ってどなたですか #EP演習
@ohnomeijifms	2017-05-22 19:14:16	効果音つけるとなんかいい感じになるなあ #EP演習
@majinfms	2017-05-22 19:14:18	効果音のセンスがやばい#EP演習
@tsukidate_t	2017-05-22 19:14:19	#EP演習 かなんさすが…
@takuandake	2017-05-22 19:14:20	つよい #EP演習
@natume_fms	2017-05-22 19:14:23	効果音好き #EP演習
@onakaSuitaaayoh	2017-05-22 19:14:25	今年もやべえぞ！#EP演習
@numaty_null	2017-05-22 19:14:36	すごいなぁ…#EP演習
@mayumi_kt2	2017-05-22 19:14:36	皆すごすぎて自分消えたいぞ#EP演習
